population,percentage,life expectancy,income,group
2921,45.484272812,75.991268023,62083.0,White
1412,16.329362785,,45250.0,AIAN
702,8.1184225743,,101250.0,Asian
81,0.9367410663,,,Black
604,6.9850815312,,56667.0,Hispanic
5282,61.084769284,,77949.0,White
59,5.1393728223,,38750.0,AIAN
29,2.5261324042,,52188.0,Asian
8,0.6968641115,,,Black
63,5.487804878,,49688.0,Hispanic
934,81.358885017,,77083.0,White
869,12.56143394,,27353.0,AIAN
163,2.3561723041,,,Asian
113,1.6334200636,,33750.0,Black
441,6.3746747615,,70982.0,Hispanic
5042,72.882335935,,80625.0,White
1303,14.218681798,,38102.0,AIAN
437,4.7686599738,,,Asian
82,0.8948057617,,,Black
486,5.3033609777,,66250.0,Hispanic
6333,69.107376691,,86941.0,White
414,16.540151818,,24554.0,AIAN
83,3.3160207751,,115833.0,Asian
12,0.4794246904,,,Black
75,2.9964043148,,26595.0,Hispanic
1675,66.919696364,,61310.0,White
239,39.569536424,,48125.0,AIAN
41,6.7880794702,,,Asian
12,1.9867549669,,,Black
28,4.6357615894,,72500.0,Hispanic
197,32.61589404,,78750.0,White
3707,69.588886803,,32885.0,AIAN
21,0.394218134,,73125.0,Asian
43,0.8072085602,,,Black
148,2.7782992303,,,Hispanic
1162,21.813403417,,64722.0,White
53827,74.949177087,71.564762104,24045.0,AIAN
323,0.449747974,,39524.0,Asian
363,0.5054443176,,50737.0,Black
4590,6.3911554206,77.886941125,40347.0,Hispanic
13017,18.124982595,76.85395216,56618.0,White
2225,1.7551471168,,47917.0,AIAN
2875,2.267886724,89.278653413,49635.0,Asian
5003,3.9465173148,83.591247025,67946.0,Black
45173,35.633825037,80.597714253,39595.0,Hispanic
69543,54.857616155,77.676612786,52293.0,White
39414,27.590406989,72.815323473,42098.0,AIAN
2941,2.0587452924,85.62023793,40530.0,Asian
1787,1.2509275204,78.93996189,24479.0,Black
20389,14.272613998,81.804068734,52842.0,Hispanic
77128,53.990787797,81.510298619,64741.0,White
9615,17.842231253,64.129597946,34737.0,AIAN
509,0.944534135,,47635.0,Asian
342,0.6346378667,,12760.0,Black
10098,18.738518065,78.220679322,41637.0,Hispanic
33402,61.982964984,76.263507091,43370.0,White
5191,13.634692162,74.142128129,32317.0,AIAN
263,0.6907963858,,91250.0,Asian
556,1.4603908384,,,Black
12617,33.139840303,78.279147911,46651.0,Hispanic
19416,50.998108846,78.313983865,56013.0,White
389,4.1020774017,,95781.0,AIAN
90,0.949066751,,,Asian
161,1.6977749657,,75625.0,Black
4485,47.29515976,82.722243224,49571.0,Hispanic
4339,45.755562586,79.61881562,64877.0,White
3837,18.186557968,62.590758384,34938.0,AIAN
205,0.9716560811,,,Asian
189,0.895819509,,78472.0,Black
5925,28.083230638,84.445178532,41667.0,Hispanic
11957,56.673618352,76.200546996,31499.0,White
123814,2.8070492044,75.086488543,45984.0,AIAN
202798,4.5977350264,87.032446947,81021.0,Asian
241102,5.4661441944,76.515444544,45167.0,Black
1379637,31.278441398,81.828522123,48096.0,Hispanic
2421633,54.902054582,80.56742454,68702.0,White
6331,3.0212359819,69.747731352,45000.0,AIAN
2599,1.2402767836,93.982621863,55795.0,Asian
2245,1.0713433548,79.882095246,27904.0,Black
35269,16.830827965,81.315736238,45183.0,Hispanic
161177,76.915771892,75.358664265,43045.0,White
50383,45.618180995,70.539693635,25814.0,AIAN
757,0.6854090271,,41042.0,Asian
886,0.8022092444,,48309.0,Black
12649,11.452759292,82.815860066,36738.0,Hispanic
46051,41.695866721,77.555390397,50676.0,White
44984,4.3292434699,71.14570845,32331.0,AIAN
35302,3.3974513821,87.885149999,51116.0,Asian
35216,3.3891747741,76.484828043,41978.0,Black
390183,37.551067153,80.936640358,42035.0,Hispanic
534410,51.431420122,79.515762824,57619.0,White
29746,6.6525323278,72.695036868,26804.0,AIAN
8570,1.9166342382,96.98590761,70177.0,Asian
20219,4.5218702056,79.828613232,61717.0,Black
136046,30.425953509,82.868468834,49733.0,Hispanic
252935,56.567547379,82.655093425,58481.0,White
655,1.4082690116,,,AIAN
355,0.763260304,,34925.0,Asian
184,0.3956053407,,,Black
38811,83.444776504,83.617728125,36005.0,Hispanic
6911,14.858850594,82.93662212,51972.0,White
4925,2.1229088809,75.503969423,47500.0,AIAN
2742,1.1819322135,86.620690315,69732.0,Asian
1609,0.693555409,84.335026489,53580.0,Black
34046,14.675442794,82.572735823,47255.0,Hispanic
186424,80.357596996,78.515946997,50595.0,White
4824,2.2740986574,73.19176254,35063.0,AIAN
3367,1.587249208,87.8046376,75195.0,Asian
4013,1.8917823201,77.475164763,43241.0,Black
136425,64.312584854,83.648835713,39854.0,Hispanic
64524,30.417483783,81.410080572,49704.0,White
64,0.3601778378,,,AIAN
148,0.8329112499,,,Asian
4346,24.458326299,73.567872446,25971.0,Black
582,3.2753672126,,21618.0,Hispanic
12342,69.45804491,74.023484672,46932.0,White
143,0.7133592737,,,AIAN
51,0.2544148459,,,Asian
4911,24.498653098,72.745994384,19350.0,Black
1105,5.5123216602,,26607.0,Hispanic
13692,68.302903322,75.170325636,48929.0,White
329,0.790504337,,41023.0,AIAN
218,0.5237992263,,36728.0,Asian
146,0.3508013167,,,Black
1047,2.5156779356,,55187.0,Hispanic
39314,94.461664144,,41026.0,White
5137,1.8843907736,82.278499931,43971.0,AIAN
11131,4.0831523653,91.219121403,91528.0,Asian
4878,1.7893825566,86.758278251,61052.0,Black
45975,16.864875572,87.002256314,51059.0,Hispanic
198924,72.970712525,79.169885916,66334.0,White
326,0.8697972252,,18400.0,AIAN
258,0.6883671291,,,Asian
136,0.3628601921,,,Black
979,2.6120597652,,45670.0,Hispanic
35082,93.601921025,,43262.0,White
166,1.5233550518,,,AIAN
50,0.4588418831,,,Asian
2968,27.23685418,68.419229394,27596.0,Black
1712,15.710746077,,29309.0,Hispanic
6023,55.272093237,75.931129926,53183.0,White
37,0.7011559598,,,AIAN
15,0.2842524161,,,Asian
1120,21.224180406,,28782.0,Black
215,4.0742846314,,37031.0,Hispanic
3812,72.238014023,,50060.0,White
372,1.3180739113,,,AIAN
436,1.5448393155,,84342.0,Asian
155,0.5491974631,,,Black
4302,15.242887007,,39219.0,Hispanic
22351,79.194274174,,44764.0,White
49,0.4694385898,,,AIAN
78,0.7472695919,,137885.0,Asian
5575,53.41061506,71.662485083,23653.0,Black
604,5.7865491473,,30192.0,Hispanic
4062,38.915501054,75.396884229,44804.0,White
144,0.6527355968,,46696.0,AIAN
141,0.6391369385,,,Asian
5319,24.110421105,73.974608044,30566.0,Black
1077,4.8819183174,,,Hispanic
15098,68.437514165,75.984722419,44905.0,White
76,0.5118879235,,,AIAN
29,0.195325655,,,Asian
111,0.747625783,,,Black
317,2.1351114703,,,Hispanic
14131,95.177476931,,,White
186,0.7450430603,,29900.0,AIAN
125,0.5007009814,,,Asian
91,0.3645103144,,,Black
604,2.419387142,,22132.0,Hispanic
23642,94.700580813,,45000.0,White
41,0.5113494637,,,AIAN
13,0.1621351958,,,Asian
